team,squad_value,avg_player_value,season_code,squad_value_norm,avg_player_norm
Arsenal,414750000,9880000,1415,1.969,1.778
Aston Villa,114250000,3010000,1415,0.543,0.542
Burnley FC &nbsp;,52550000,1750000,1415,0.25,0.315
Chelsea,557250000,14660000,1415,2.646,2.638
Crystal Palace,97250000,2320000,1415,0.462,0.418
Everton,182850000,4570000,1415,0.868,0.822
Hull,117100000,3350000,1415,0.556,0.603
Leicester City &nbsp;,66700000,1800000,1415,0.317,0.324
Liverpool,324850000,9280000,1415,1.543,1.67
Man City,448250000,13180000,1415,2.128,2.372
Man United,505400000,11750000,1415,2.4,2.115
Newcastle,140000000,3330000,1415,0.665,0.599
Queens Park Rangers &nbsp;,112250000,2740000,1415,0.533,0.493
Southampton,210250000,5680000,1415,0.998,1.022
Stoke,110500000,3680000,1415,0.525,0.662
Sunderland,91000000,2680000,1415,0.432,0.482
Swansea,130750000,3630000,1415,0.621,0.653
Tottenham,304150000,7240000,1415,1.444,1.303
West Brom,95950000,2820000,1415,0.456,0.508
West Ham,135900000,3780000,1415,0.645,0.68
AFC Bournemouth &nbsp;,99900000,2040000,1516,0.411,0.329
Arsenal,457850000,11170000,1516,1.885,1.799
Aston Villa,117950000,2680000,1516,0.486,0.432
Chelsea,553500000,13840000,1516,2.279,2.229
Crystal Palace,135700000,3570000,1516,0.559,0.575
Everton,249850000,6410000,1516,1.029,1.032
Leicester,161100000,4600000,1516,0.663,0.741
Liverpool,375250000,8530000,1516,1.545,1.374
Man City,499350000,13140000,1516,2.056,2.116
Man United,439850000,10000000,1516,1.811,1.61
Newcastle,198000000,4710000,1516,0.815,0.759
Norwich City &nbsp;,116900000,2850000,1516,0.481,0.459
Southampton,225500000,6440000,1516,0.928,1.037
Stoke,147000000,4740000,1516,0.605,0.763
Sunderland,111250000,2650000,1516,0.458,0.427
Swansea,145800000,4050000,1516,0.6,0.652
Tottenham,371850000,12000000,1516,1.531,1.933
Watford FC &nbsp;,137000000,3510000,1516,0.564,0.565
West Brom,113100000,3230000,1516,0.466,0.52
West Ham,201330000,4030000,1516,0.829,0.649
Arsenal,542000000,12900000,1617,1.844,1.731
Bournemouth,131600000,3210000,1617,0.448,0.431
Burnley FC &nbsp;,107180000,2980000,1617,0.365,0.4
Chelsea,686700000,14010000,1617,2.336,1.88
Crystal Palace,228430000,5080000,1617,0.777,0.682
Everton,311250000,7980000,1617,1.059,1.071
Hull City &nbsp;,135850000,3230000,1617,0.462,0.433
Leicester,218650000,7050000,1617,0.744,0.946
Liverpool,425650000,11200000,1617,1.448,1.503
Man City,576500000,16469999,1617,1.961,2.21
Man United,531450000,12650000,1617,1.808,1.697
Middlesbrough FC &nbsp;,128800000,3680000,1617,0.438,0.494
Southampton,263750000,7330000,1617,0.897,0.983
Stoke,186000000,5470000,1617,0.633,0.734
Sunderland,132000000,3140000,1617,0.449,0.421
Swansea,157100000,4250000,1617,0.534,0.57
Tottenham,543650000,14310000,1617,1.85,1.92
Watford,175650000,3820000,1617,0.598,0.512
West Brom,123200000,4110000,1617,0.419,0.551
West Ham,273050000,6210000,1617,0.929,0.833
Arsenal,694000000,15420000,1718,1.715,1.396
Bournemouth,144500000,4130000,1718,0.357,0.374
Brighton & Hove Albion &nbsp;,148200000,3800000,1718,0.366,0.344
Burnley,169300000,5640000,1718,0.418,0.511
Chelsea,884250000,19220000,1718,2.185,1.74
Crystal Palace,220730000,5380000,1718,0.546,0.487
Everton,381250000,7940000,1718,0.942,0.719
Huddersfield Town &nbsp;,106050000,3030000,1718,0.262,0.274
Leicester,304250000,8950000,1718,0.752,0.81
Liverpool,857500000,24500000,1718,2.119,2.218
Man City,1010000000,31530000,1718,2.496,2.855
Man United,849500000,24270000,1718,2.1,2.197
Newcastle United &nbsp;,208280000,5630000,1718,0.515,0.51
Southampton,297000000,10240000,1718,0.734,0.927
Stoke,192450000,5500000,1718,0.476,0.498
Swansea,165490000,4600000,1718,0.409,0.416
Tottenham,829600000,24400000,1718,2.05,2.209
Watford,196000000,5300000,1718,0.484,0.48
West Brom,165950000,5030000,1718,0.41,0.455
West Ham,268100000,6380000,1718,0.663,0.578
Arsenal,659050000,15690000,1819,1.344,1.274
Bournemouth,310000000,8380000,1819,0.632,0.68
Brighton,194350000,4740000,1819,0.396,0.385
Burnley,197250000,5980000,1819,0.402,0.485
Cardiff City &nbsp;,113000000,3230000,1819,0.23,0.262
Chelsea,1170000000,21600000,1819,2.387,1.753
Crystal Palace,289000000,8029999,1819,0.59,0.652
Everton,529100000,13230000,1819,1.079,1.074
Fulham FC &nbsp;,254250000,7700000,1819,0.519,0.625
Huddersfield,137450000,4170000,1819,0.28,0.338
Leicester,434100000,11730000,1819,0.885,0.952
Liverpool,1170000000,30060000,1819,2.387,2.44
Man City,1200000000,25610000,1819,2.448,2.079
Man United,797600000,22160000,1819,1.627,1.799
Newcastle,244650000,6610000,1819,0.499,0.537
Southampton,305400000,7640000,1819,0.623,0.62
Tottenham,898600000,26430000,1819,1.833,2.145
Watford,239100000,6130000,1819,0.488,0.498
West Ham,359000000,9700000,1819,0.732,0.787
Wolverhampton Wanderers &nbsp;,302900000,7570000,1819,0.618,0.614
Arsenal,607650000,15990000,1920,1.464,1.494
Aston Villa &nbsp;,231700000,6100000,1920,0.558,0.57
Bournemouth,272180000,6980000,1920,0.656,0.652
Brighton,200780000,4460000,1920,0.484,0.417
Burnley,163880000,4680000,1920,0.395,0.437
Chelsea,705850000,19610000,1920,1.701,1.832
Crystal Palace,189330000,5740000,1920,0.456,0.536
Everton,420550000,12020000,1920,1.013,1.123
Leicester,411100000,12850000,1920,0.99,1.2
Liverpool,1000000000,17900000,1920,2.409,1.672
Man City,1050000000,29960000,1920,2.53,2.799
Man United,670450000,15590000,1920,1.615,1.456
Newcastle,252480000,6160000,1920,0.608,0.575
Norwich,145330000,3820000,1920,0.35,0.357
Sheffield United &nbsp;,138600000,4080000,1920,0.334,0.381
Southampton,210750000,5850000,1920,0.508,0.546
Tottenham,806800000,22410000,1920,1.944,2.093
Watford,199600000,4640000,1920,0.481,0.433
West Ham,303600000,7990000,1920,0.731,0.746
Wolves,320330000,7280000,1920,0.772,0.68
Arsenal,619250000,14740000,2021,1.353,1.287
Aston Villa,430700000,8130000,2021,0.941,0.71
Brighton,290400000,6310000,2021,0.634,0.551
Burnley,132300000,4130000,2021,0.289,0.361
Chelsea,889200000,22800000,2021,1.943,1.991
Crystal Palace,193850000,5380000,2021,0.424,0.47
Everton,511200000,11620000,2021,1.117,1.015
Fulham FC &nbsp;,239750000,6310000,2021,0.524,0.551
Leeds United &nbsp;,238100000,6110000,2021,0.52,0.534
Leicester,510600000,12770000,2021,1.116,1.115
Liverpool,969650000,22550000,2021,2.118,1.969
Man City,1040000000,29010000,2021,2.272,2.533
Man United,770050000,19740000,2021,1.682,1.724
Newcastle,255350000,7740000,2021,0.558,0.676
Sheffield United,149850000,3750000,2021,0.327,0.327
Southampton,282800000,7250000,2021,0.618,0.633
Tottenham,703500000,17160000,2021,1.537,1.498
West Bromwich Albion &nbsp;,141150000,3280000,2021,0.308,0.286
West Ham,336400000,8410000,2021,0.735,0.734
Wolves,450300000,11850000,2021,0.984,1.035
Arsenal,613050000,14950000,2122,1.313,1.309
Aston Villa,487750000,11090000,2122,1.045,0.971
Brentford FC &nbsp;,273300000,7190000,2122,0.585,0.63
Brighton,318000000,7400000,2122,0.681,0.648
Burnley,137850000,3940000,2122,0.295,0.345
Chelsea,914500000,20780000,2122,1.959,1.82
Crystal Palace,271050000,8210000,2122,0.581,0.719
Everton,479050000,11410000,2122,1.026,0.999
Leeds,299450000,8560000,2122,0.641,0.75
Leicester,526549999,13160000,2122,1.128,1.152
Liverpool,918900000,18750000,2122,1.968,1.642
Man City,1000000000,25740000,2122,2.142,2.254
Man United,769150000,17890000,2122,1.647,1.567
Newcastle,313900000,9230000,2122,0.672,0.808
Norwich,163200000,3630000,2122,0.35,0.318
Southampton,274300000,8310000,2122,0.588,0.728
Tottenham,689350000,15320000,2122,1.477,1.342
Watford FC &nbsp;,156200000,3320000,2122,0.335,0.291
West Ham,354900000,9590000,2122,0.76,0.84
Wolves,376950000,9920000,2122,0.807,0.869
AFC Bournemouth &nbsp;,287200000,6110000,2223,0.507,0.441
Arsenal,1000000000,23830000,2223,1.767,1.719
Aston Villa,509550000,11850000,2223,0.9,0.855
Brentford,371200000,10310000,2223,0.656,0.744
Brighton,529799999,12610000,2223,0.936,0.909
Chelsea,994950000,23140000,2223,1.758,1.669
Crystal Palace,323050000,8279999,2223,0.571,0.597
Everton,413150000,10330000,2223,0.73,0.745
Fulham FC &nbsp;,295100000,6280000,2223,0.521,0.453
Leeds,345150000,7340000,2223,0.61,0.529
Leicester,490700000,12910000,2223,0.867,0.931
Liverpool,811850000,20820000,2223,1.434,1.502
Man City,1150000000,33700000,2223,2.032,2.43
Man United,847750000,17660000,2223,1.498,1.274
Newcastle,541600000,14250000,2223,0.957,1.028
Nottingham Forest &nbsp;,376250000,7530000,2223,0.665,0.543
Southampton,419950000,9130000,2223,0.742,0.658
Tottenham,649100000,19090000,2223,1.147,1.377
West Ham,465600000,10580000,2223,0.823,0.763
Wolves,497650000,11570000,2223,0.879,0.834
Arsenal,1200000000,30080000,2324,1.966,2.076
Aston Villa,709650000,15770000,2324,1.162,1.088
Bournemouth,401750000,9570000,2324,0.658,0.66
Brentford,428780000,10210000,2324,0.702,0.705
Brighton,524400000,10700000,2324,0.859,0.738
Burnley FC &nbsp;,273480000,7010000,2324,0.448,0.484
Chelsea,1010000000,18100000,2324,1.654,1.249
Crystal Palace,446580000,11160000,2324,0.731,0.77
Everton,391750000,11520000,2324,0.642,0.795
Fulham,384350000,10980000,2324,0.63,0.758
Liverpool,955650000,21240000,2324,1.565,1.466
Luton Town &nbsp;,140900000,3060000,2324,0.231,0.211
Man City,1460000000,40630000,2324,2.391,2.804
Man United,808350000,17570000,2324,1.324,1.213
Newcastle,652250000,14490000,2324,1.068,1.0
Nott'm Forest,501350000,10900000,2324,0.821,0.752
Sheffield United &nbsp;,152350000,3390000,2324,0.25,0.234
Tottenham,838500000,20450000,2324,1.373,1.411
West Ham,487500000,13540000,2324,0.799,0.934
Wolves,442730000,9420000,2324,0.725,0.65
Arsenal,1160000000,27580000,2425,1.836,1.775
Aston Villa,680550000,16600000,2425,1.077,1.069
Bournemouth,518600000,13300000,2425,0.821,0.856
Brentford,427850000,11260000,2425,0.677,0.725
Brighton,667580000,13620000,2425,1.057,0.877
Chelsea,1190000000,20590000,2425,1.883,1.325
Crystal Palace,526850000,13170000,2425,0.834,0.848
Everton,363230000,9310000,2425,0.575,0.599
Fulham,362350000,12940000,2425,0.574,0.833
Ipswich Town &nbsp;,270100000,7720000,2425,0.427,0.497
Leicester City &nbsp;,253350000,6330000,2425,0.401,0.407
Liverpool,950950000,27170000,2425,1.505,1.749
Man City,1360000000,30860000,2425,2.153,1.987
Man United,825000000,16840000,2425,1.306,1.084
Newcastle,677530000,18820000,2425,1.072,1.211
Nott'm Forest,481300000,14580000,2425,0.762,0.939
Southampton FC &nbsp;,310050000,7380000,2425,0.491,0.475
Tottenham,777300000,18960000,2425,1.23,1.221
West Ham,400700000,13820000,2425,0.634,0.89
Wolves,433050000,9840000,2425,0.685,0.633
